"Validity start date of territory hierarchy","Numeric TIS-code of higher level territory","Validity start date of higher level territory","Numeric TIS-code of lower level territory","Validity start date of lower level territory","Validity end date of territory hierarchy"
1000/1/1 00:00:00,2133,1000/1/1 00:00:00,608,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2133,1000/1/1 00:00:00,702,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2133,1000/1/1 00:00:00,704,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2133,1000/1/1 00:00:00,764,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2134,1000/1/1 00:00:00,44,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2134,1000/1/1 00:00:00,2103,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2136,1000/1/1 00:00:00,2100,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2136,1000/1/1 00:00:00,2101,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2136,1000/1/1 00:00:00,2106,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2136,1000/1/1 00:00:00,2120,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2136,1000/1/1 00:00:00,2130,1000/1/1 00:00:00,3999/12/31 00:00:00
1931/1/1 00:00:00,2114,1931/1/1 00:00:00,124,1000/1/1 00:00:00,3999/12/31 00:00:00
1931/1/1 00:00:00,2114,1931/1/1 00:00:00,826,1000/1/1 00:00:00,3999/12/31 00:00:00
1931/1/1 00:00:00,2114,1931/1/1 00:00:00,2115,1931/1/1 00:00:00,3999/12/31 00:00:00
1931/1/1 00:00:00,2114,1931/1/1 00:00:00,2116,1931/1/1 00:00:00,3999/12/31 00:00:00
1931/1/1 00:00:00,2114,1931/1/1 00:00:00,2117,1931/1/1 00:00:00,3999/12/31 00:00:00
1931/1/1 00:00:00,2116,1931/1/1 00:00:00,344,1000/1/1 00:00:00,1997/6/30 00:00:00
1931/1/1 00:00:00,2117,1931/1/1 00:00:00,36,1000/1/1 00:00:00,3999/12/31 00:00:00
1931/1/1 00:00:00,2117,1931/1/1 00:00:00,554,1000/1/1 00:00:00,3999/12/31 00:00:00
1947/1/1 00:00:00,2116,1931/1/1 00:00:00,356,1000/1/1 00:00:00,3999/12/31 00:00:00
1948/1/1 00:00:00,2110,1948/1/1 00:00:00,56,1000/1/1 00:00:00,3999/12/31 00:00:00
1948/1/1 00:00:00,2110,1948/1/1 00:00:00,442,1000/1/1 00:00:00,3999/12/31 00:00:00
1948/1/1 00:00:00,2110,1948/1/1 00:00:00,528,1000/1/1 00:00:00,3999/12/31 00:00:00
1948/1/1 00:00:00,2116,1931/1/1 00:00:00,144,1000/1/1 00:00:00,3999/12/31 00:00:00
